Index,Disruption Date,Location,Type,Description,Cause,Closed Date
709,07/11/2024,"Dalian, China",Marine,"USER: GPS outage period 11.07.2024 0736 UTC (GPS PSN 38 21.9 N / 121 23.4 E) to 0924 UTC (GPS PSN 38 16.4 N / 121 39.0 E) Checked with other vessel's in the vicinity, almost all of them were reporting same issues. Vessel equipped with Trelleborg SafePilot P3 unit and which was not affected by this incident.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/29/2024
866,06/24/2024,"Cross Lanes, West Virginia",Timing,"USER: GPS Disruption
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/07/2025
705,06/19/2024,"Miami, FL",Automobile,"USER: In both gps systems, my phone and the car, the signal is jumping at the same time. Happens about every 30 seconds.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,07/01/2024
704,06/17/2024,Djibouti,Marine,"USER: Vessel Received GPS disruption from past 1 hour.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/26/2024
703,06/15/2024,"YANBU, KSA",Marine,"USER: All GPS receivers (3 GPS fitted on board) lost signal: received alarm on all Navigation Equipment: No GPS Fix. Disruption last exceptionally long (over 30 minutes) in which period there was no any position on Navigational Equipment like on ECDIS, Gyro and ARPA.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/26/2024
698,06/10/2024,"Dumfries, VA",Automobile,"USER: I was on my weekly commute from Richmond, VA to Sterling, VA and noticed that my GPS map starting acting up around the Rt. 234 intersection with Interstate 95. It remained wacky all the way to Sterling. It was directing me to roads off of my usual path, had my location cursor moving through areas with no roads and the map kept rolling as it tried to reroute me to who knows where. My normal track is 95N to 123N to 286N to 66W to 28N to Sterling. The GPS was non-functional from the time I noticed it to the time I pulled in at my office.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/17/2024
696,06/07/2024,"Mountain View, CA",Automobile,"USER: Both phone and car GPS units are 500-1000 feet off when showing current location. Have shut down phone and location services multiple times. Service has been incorrect for 1+ hrs over 40sq miles of driving
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/17/2024
695,06/05/2024,"Crown Point, NY",Other,"USER: I have a complete outage of all GPS signals on all of the devices on board my boat. I am in Lake Champlain. I have plenty of clear sky around me. All of these devices were operating yesterday with no problems, although I did note a temporary outage on my chart plotter in the morning. Each device has its own antenna system. There is nothing different running today that might be causing interference.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/17/2024
693,06/02/2024,Gulf of Suez,Marine,"USER: The GPS signal lost had been recorded between 0740 UTC and 0805 UTC on 2nd June 2024 while the vessel ""Safwa"" IMO No. 9223887 was on approach to Gulf of Suez. The GPS signal lost was recorded at all receivers onboard. Presently, all back to normal and no any anomalies.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/17/2024
694,06/02/2024,"Port Said, Egypt",Marine,"USER: No Comments provided
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/17/2024
692,06/01/2024,Gulf of Suez,Marine,"USER: Both GPS restored itself 01-Jun-2024 at 06:47 LT (03:47 UTC) in position: Lat: +27.431166, Lon: +034.221716.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,06/10/2024
691,05/26/2024,"Fangchenggang, China,",Marine,"USER: On 26 May 2230 LT, while approaching berth 501 Fangcheng Port - Both the GPS lost signal. Later it was confirmed by the local agent that the terminal has installed GPS Jammer. Prior departure on 28 May 2024 the jammer was switched off by the terminal and the GPS signal was restored.
NAVCEN: No additional information.",Other,06/10/2024
688,05/17/2024,"Port said , Egypt",Marine,"USER: At 0545Lt vessel lost gps signal today on 17 may 2024 and every 10-15 seconds the signal is loosing hence no position data available for the vessel. The Gps fail error causing gyro failure and AIS failure as well. This is continuing till now. Currently vessel at anchor in Port said anchorage.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/20/2024
686,05/14/2024,"Huelva, Spain",Marine,"User: Vessel equipped with 2 Kongsberg DPS 232 GPS units. Simultaneous loss of both. Vessel also equipped with 2 X Furuno GP-170 units - no alarms present - PDOP = 1.3m
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,05/20/2024
715,05/11/2024,"North Garden, VA",Other,"USER: I was driving northbound on U.S. Route 29 going approximately 55 mph around 2:15pm EST when I began to experience GPS disruptions on ""application: Google Maps"". The application began to rotate uncontrollably side to side for approximately 20 minutes on and off and could not accurately identify my position.
NAVCEN: Provided user information for help with address, route, and map problems in GPS devices and apps.",Mapping Issue,08/05/2024
822,04/27/2024,"Port Said, Egypt",Marine,"USER: Loss of GPS
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/21/2025
680,04/24/2024,Persian Gulf,Communications,"USER: VSAT Communications including Data and voice lost over a period of approx. 36 hours. Informed by Technician of Marlink Service Desk that vessel has ""GPS jamming (GPS interface) and the VSAT will not work properly and the Antenna can't detect any satellite until the vessel is headed out of the zone."" Re-boot of ACU seemed to break the jammed connection, and signal to the VSAT restored after Antenna was able to lock onto beam.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/30/2024
679,04/18/2024,,Marine,"USER: Bab El Mandeb strait
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/22/2024
675,04/12/2024,,None,"USER: CALLER REPORTED A POSSIBLE CYBER SECURITY ATTACK ON THE VESSEL APL EAGLE AT THE INCIDENT LOCATION. THE CALLER STATED THEY EXPERIENCED AN ERRATIC TRACK LINE ON THE VESSELS CHART DISPLAY, THAT SEEMED TO TRY AND TAKE THE VESSEL OFF OF THEIR COURSE. THIS INTERFERENCE TOOK PLACE FOR A FEW MINUTES, AND THEN WENT BACK TO NORMAL. THIS VESSEL EXPERIENCED THIS A FEW MONTHS AGO WHILE IN THE SAME AREA. THE VESSEL IS A US FLAGGED SHIP WHO'S PORT OF REGISTRY IS WILMINGTON, DELAWARE. THE VESSEL HAS NEVER BEEN TO THE UNITED STATES, AND OPERATES IN JEBEL ALI, DUBAI. THE U.S. COAST GUARD ACTIVITIES EUROPE DOES THERE INSPECTIONS. WILMINGTON, DELAWARE WAS USED AS THE INCIDENT LOCATION, BUT THE INCIDENT ACTUALLY OCCURED AT THE COORDINATES PROVIDED IN THE PERSIAN GULF.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/15/2024
674,04/11/2024,,Marine,"USER: Our vessel on entering Gulf of Aqaba experiencing intermittent GPS spoofing & later after an hour GPS signal has been completely lost. Vessel using GPS for navigation purpose.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/15/2024
676,04/11/2024,,Marine,"USER: On 11th April, 1838 UTC, MT Toya while approaching the port of Ras Tanura, KSA experienced loss of position (suspected GPS interference) which was rectified within one minute. However, the HDOP high alert remained for another 10-15 minutes.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/15/2024
669,04/09/2024,,Marine,"USER: While underway, vessel had faced No.1 & 2 GPS no fix alarm occurred at 0710LT on 03/Apr/2024. and still GPS signal not restored properly.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
681,04/09/2024,"Temple City, CA",Automobile,"USER: Constant intermittent issues with GPS in the San Gabriel valley of California near Los Angeles. This is constant and frustrating. Never a problem with using GPS in New York. Please fix
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Insufficient Information,04/30/2024
677,04/07/2024,,Marine,"USER: MV APL EAGLE, 170.0M Geared Containership, 1700 TEU, experienced GPS position anomaly indicative of GPS Spoofing today 12th APRIL 2024, 1200LT (ZD-3)/0900UTC. Sea area: Persian Gulf. 0912Z Position: Latitude: 26-19.9N Long. 051-39.3E Noted similar errors to the previously reported incident 9th November 2023. Presented on ECDIS screen as erratic track. Noted Position errors of more than 0.5nm on ECDIS history track. Suspected interference with Differential signal. Both GPS units appear to be functioning normally, and errors cleared after a few minutes.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/15/2024
673,04/06/2024,,Other,"USER: We are noticing a disturbance in our GPS systems when we use it to navigate trough traffic. Since I cannot find anything online about it I thougt I would report it here.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
672,04/05/2024,,Automobile,"USER: Driving between my home and destination, both in South Surrey, BC, Canada, the vehicle location was reflected significantly off of the road, causing the map application to be ‘confused’, telling me to make turns that didn’t make sense. Several times during the 15 minute drive, the vehicle map icon appeared to ‘jump’ to a new location (within meters).
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
668,04/02/2024,,Marine,"USER: Pls be informed that today, on 02 Apr 2024, during the day, vessel’s GPS exposed with jamming of the signals at the Port Said anchorage area. This is not only our problems, same situation on board other vessels in vicinity.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
667,04/01/2024,,Marine,"USER: Interference with GPS Signal of all Vessel’s in the vicinity for approx. 1.5hrs
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
666,03/31/2024,,Marine,"USER: Vessel had faced GPS signal jamming when navigating near Juaymah Terminal, Saudi Arabia. This was experienced from 28th evening Saudi arab time till 31st morning time intermittently with long outage time. Presently the signal is stable.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
664,03/30/2024,,Transportation,"GPS disruptions in the East Mediterranean when vessel is underway from Alexandria, Egypt to Port Said, Egypt. This is one of the many occurrence of GPS disruptions until vessel reach Port Said Southern Holding Anchorage at 30 Mar 2024 2136UTC. It is more frequent when vessel was approaching Port Said Southern Holding Anchorage. Moreover, even at anchorage area, still we are having GPS signal disruptions and also other vessels in the vicinity is heard on VHF Ch 16 having the same issue.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
661,03/25/2024,,Research,"USER: Received adequate satellite counts but gps reported velocity and other quality metrics were very unstable and not conducive to drone flight
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Insufficient Information,04/08/2024
670,03/23/2024,,Transportation,"USER: As I am driving my GPS will randomly shoot across maybe 1/2 mile off course and keep trying to recalculate. This recently began beginning 3/23/24 and happens intermittently to this day. I have deleted the navigation applications (Google Maps, Waze, and Apple Maps) and reinstalled them and they still do this. I have checked my phone for updates and Apple has nothing to report. It was even stranger when my car began doing this 3/30/24 and it is at the same time my phone GPS goes haywire. I am not sure what is going on.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
658,03/19/2024,,Other,"USER: It is believed that my address is being GPS Spoofed by a NC/Alamance County Emergency Management employee. I have lost over $1,000 in merchandise. Alamance County Sheriff's Office refuses to investigate as it is believe to be 1 of the sheriff's relatives. This has been an ongoing issue. This time it was a FedEx driver for the 2nd time in a week.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
659,03/19/2024,,None,"USER: We have continuous alarms concerning 5G base stations. Alarms: GNSS Clock Output Unavailable, GNSS Locked Satellites Insufficient, all over Cyprus. No satellites are tracked and bts go to holdover. Many alarms clear after some time and some restore back after gps board reset. We've also checked longitude and latitude of a BTS and it was shown on a wrong place. Please inform us for any problems in the area of Cyprus. Thank you!!!
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,04/08/2024
657,03/17/2024,,Communications,"USER: I'm an engineer. At this approximate time my gps device (android maps) would move my identified location by several hundred meters every few seconds and constantly switch directions I was traveling. There were few tall buildings in my area. My vehicle gps locator (hyundai) also was giving errors that it could not determine a stable location. My friends gps (apple maps) was doing the same. And two rideshare drivers (uber) reported to us that they, too, were experiencing the same exact disruption say that time and were having trouble navigating and finding their riders. By 8AM, everything was normal in this area. This could have been an illegal spoofing incident.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/18/2024
656,03/14/2024,,Communications,"USER: Apple phone Waze and Apple Maps
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Insufficient Information,03/18/2024
654,03/11/2024,,Communications,"USER: While jogging big energy level from mobile phone radio app in german language (Crystal Missions producent) in Poland forest or like sky is the limit. More hot than usual. Someone 5 times turned off this radio app by stop button in my phone while jogging. Area is always international tourist attraction for many joggers and big RTCN Jemiołów tower transmitter 320 meters with military zone.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/18/2024
665,03/09/2024,,Automobile,"USER: GPS on DASHCAM is not receiving any signal, unable to track speedometer or other warnings on the DASHCAM through GPS. GPS display on DASHCAM screen is marked with a Red Cross. Everything else with DASHCAM works perfectly, eg; TIME/DATE and basic video recording. This error has been happening for about a month. I am finding it disturbing as I rely on the Safety Features the DASHCAM provides through GPS.Is there any explanation as to why it has stopped working.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",User Equipment,04/08/2024
653,03/06/2024,,Marine,"USER: GPS Disruption was intermittent, lasted less than 1 min
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/11/2024
652,02/23/2024,,Marine,"USER: Reports loss of GPS in the South China Sea.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/26/2024
655,02/14/2024,,Communications,"USER: Our ADVA OSA5430 loses GPS signal every night between 2am and 5am since at least Jan 2024. The 360 degree antenna on the roof has been checked and has nothing near and is pointing straight up. Signal level is good during the day.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,03/18/2024
651,02/09/2024,,Marine,"USER: 1. Vessel’s Name: Lucina Providence 2. Type of Incident: GPS Signal interference 3. Date and Time of Incident: 23 Feb 2024/ 1028LT ( 23 Feb 2024/ 0228 UTC) 4. Ship’s Position: 07°32.5’N; 108°13.1’E 5. Status: Underway, full speed at sea. 6. Brief Description of the Incident: Interference with GPS Signal of all Vessel’s in the vicinity for approx. 38 Min 7. Others: a) GPS signal interference to both DGPS receiver and independent AIS. b) All Vessel’s in the Vicinity ( 15NM radius approx.) had interference. c) 1106LT, signal regained. HDOP within limits. GPS signal satisfactory. Matter resolved. d) During this incident vessel is in south China sea and there were three unidentified vessels can’t be seen on AIS.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/26/2024
649,02/07/2024,,Automobile,"USER: Tried two different systems. Apple iphone (waze app, and google maps) as well as the integrated gps in my truck (ford f150). Neither system was tracking for approximately 1.5hrs. Was traveling east from Columbus OH to Pittsburgh PA on I70. At times system showed i was traveling west on that road, and or running parallel off the road 30yds….. Applications kept trying to correct course infinitely as the system wasn’t tracking. Rebooted both systems, nothing helped. System returned to functioning after about 1.5hrs of in correct operation (and i had travelled about 90miles east of Columbus OH).
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/26/2024
648,02/05/2024,,Automobile,"USER: As soon as I start the google maps it take the position and immediately after I got the message GPS signal lost. The only way to get the position again was to close the app and start from the beginning. I got the position and after few seconds the message GPS signal lost. This never stops for about 40 minutes. Then I reach my destination and I have not checked anymore the GPS signal. Thanks.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/12/2024
647,02/03/2024,,Other,"USER: This anomaly has been ongoing since approximately January 3, 2024, and occurs at and around the junction listed at the above lat and long. When I approached that junction, all of the active GPS devices started to shift off in the incorrect direction. Normally, around 30-40 degrees of deflection from the route of travel. This deflection generally continues to occur for approximately 3-5 miles after the anomaly begins, and then the GPS corrects back to the route of travel. This anomaly tends to occur between around 1100z to sunset (around 2300z). My Jeep Grand Cherokee's integrated GPS has a satellite details page, and all of the satellites have high signal strength and an ample number of satellites. Due to the consistency of the interference and its start and stop timing, my initial assumption was some sort of ground-based interference either as unintentionally generatorated RFI or intentional interference. I will happily provide screenshots from both my iPhone and photos of the details page from my car if requested.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/26/2024
646,01/30/2024,,Communications,"USER: This is a broadcast and microwave relay site. The interference is happening on or near the site. I used my Anritsu spectrum analyzer with a passive directional antenna and saw interference in and around the GPS L1 frequency band but could not find its source. It has been happening for over two months now.
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/26/2024
644,01/27/2024,,Marine,"USER: As understood, there is a ongoing GPS disruption/ jamming in Jizan area
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/12/2024
640,01/23/2024,,Marine,"USER: Intermittent disruptions. ""Loss of position/Alarm window 212 "" message appeared during disruptions. Appeared from 13:06 UTC to 14:40 UTC
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,01/24/2024
642,01/23/2024,,Marine,"USER: Vessel underway from Jubail to Fujairah. Vessel experienced loss of GPS two times in less than 24 hours while in transit in Persian Gulf. Position of first occurrence started on 23 Jan 2024 23:00LT(+3UTC) in position 27 08.8N 049 50.4 E and ended at 2323LT (+3UTC) in position 27 12.1N 049 54.1E. Second occurrence happened on 24 Jan 2024 at 0523LT (+3UTC) in position 27 10.8N 051 16.2E and ended at 0630LT(+3UTC) in position 27 08.8N 051 31.3E
NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from inter-agency partners. No additional information.",Unknown Interference,02/12/2024
