Disruption Date/Time,Location,Type,Description,Cause,Closed Date,User,NAVCEN,local_date,location_country_state_or_detail,location_country_state_or_locode,user_country_state_or_detail,user_country_state_or_locode,coalesce,coalesced_country
12/21/2021 10 EST,Empire,Surveying,"USER: During the weeks of December 21 and 28, we had the time to fix was very long when there was even slight skyview clutter accuracy and repeatability were considerably degraded compared to anything done in the last 12 months. The problem seems worst at 1030 am till about 1 pm. Also on another site miles away where fixed position time was less but accuracy and repeatability were also degraded. All receivers were rebooted several times and firmware updates were checked to be current. These problems were consistent and unexplainable. It was like stepping back in time to GPS equipment a decade ago. Radio links were strong time delay showed a second. Only in the wide open did the receivers function as expected as far as time to fix but repeatability was still degraded. Lock in cluttered or wooded areas that we have repeatedly performed this past year were impossible with and we tried two different receivers that have performed amazingly well in the last 12 months. I tried turning off each GNSS constellation to see if that made a difference and I tried turning off one SV at a time to see if that made a difference. Nothing seemed to work. I also contacted the equipment rep and we went over all settings and he suggested I check firmware which we did. This problem exists on two separate systems working in two different areas about 30 miles apart. We even traded equipment one day, and the problems still existed. I have checked the Nanu reports and one sat was unusable till the 27th but we had the same problems after that. I am hoping this clears up but I am concerned. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to our request for additional information.",Insufficient Information,02/09/2022,"USER: During the weeks of December 21 and 28, we had the time to fix was very long when there was even slight skyview clutter accuracy and repeatability were considerably degraded compared to anything done in the last 12 months. The problem seems worst at 1030 am till about 1 pm. Also on another site miles away where fixed position time was less but accuracy and repeatability were also degraded. All receivers were rebooted several times and firmware updates were checked to be current. These problems were consistent and unexplainable. It was like stepping back in time to GPS equipment a decade ago. Radio links were strong time delay showed a second. Only in the wide open did the receivers function as expected as far as time to fix but repeatability was still degraded. Lock in cluttered or wooded areas that we have repeatedly performed this past year were impossible with and we tried two different receivers that have performed amazingly well in the last 12 months. I tried turning off each GNSS constellation to see if that made a difference and I tried turning off one SV at a time to see if that made a difference. Nothing seemed to work. I also contacted the equipment rep and we went over all settings and he suggested I check firmware which we did. This problem exists on two separate systems working in two different areas about 30 miles apart. We even traded equipment one day, and the problems still existed. I have checked the Nanu reports and one sat was unusable till the 27th but we had the same problems after that. I am hoping this clears up but I am concerned. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to our request for additional information.",2021-12-21,US EP8,,,,US EP8,US
12/16/2021 0700 CST,"Odessa/Midland, Texas",Automobile,"USER: GPS system indicated no GPS signal. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners or users. No response to our request for additional information.",Insufficient Information,02/09/2022,USER: GPS system indicated no GPS signal. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners or users. No response to our request for additional information.",2021-12-16,US TX,US TX,,,US TX,US
12/10/2021 0800 Brazil Eastern Time,"Sao Sebastiao, Brazil",Marine,"USER: Position shifts to bearing 039 T , 0.47 Nautical miles off actual position.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",Unknown Interference,02/09/2022,"USER: Position shifts to bearing 039 T , 0.47 Nautical miles off actual position.. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",2021-12-10,BR SSS,BR,,,BR SSS,BR
12/06/2021 23:10 EST,"Palm Beach Gardens, Florida 33410",Other,"GPS just went down 2310 Local or 0410 UTC. Still down. Cause of GPS data loss could be cloud cover or atmospheric weather related or local interference. Moved GPS ground plane around but no further improvement. Usually I receive at least 8 GPS satellites. Backup USB GPS also is down for my PC as well. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. User indicated operation returned to normal after weather in the area cleared up.",Unknown Interference,02/09/2022,GPS just went down 2310 Local or 0410 UTC. Still down. Cause of GPS data loss could be cloud cover or atmospheric weather related or local interference. Moved GPS ground plane around but no further improvement. Usually I receive at least 8 GPS satellites. Backup USB GPS also is down for my PC as well. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. User indicated operation returned to normal after weather in the area cleared up.",2021-12-06,US PMG,US FL,,,US PMG,US
11/30/2021 1223 CST,"Highway 70 Hot Springs, Ar",Other,"USER: Sorry I can not provide details on what satellites were being tracked but as soon as I hit the coordinates above until I got to 34.49593400553349, -93.07499426473889 traveling through downtown I kept getting GPS signal ""failed"" messages and my location would shift in large jumps from half a mile to out of the city. I just wanted to give a heads up because KHOT Memorial Field Airport is parallel on that route. The route I took parallels RY 05/23. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",Insufficient Information,12/14/2021,"USER: Sorry I can not provide details on what satellites were being tracked but as soon as I hit the coordinates above until I got to 34.49593400553349, -93.07499426473889 traveling through downtown I kept getting GPS signal ""failed"" messages and my location would shift in large jumps from half a mile to out of the city. I just wanted to give a heads up because KHOT Memorial Field Airport is parallel on that route. The route I took parallels RY 05/23. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",2021-11-30,US H6S,SI 037,,,US H6S,US
11/22/2021 1400 Middle East Time (+3:30),Ras Tanura Freighter anchorage,Marine,"USER: We are having problem GPS signal losing “EPFS”. on our vessel. She is running up and down north of RTE-7 anchorage/east of tanker anchorage Ras Tunara Freighter Anchorage KSA . Please check and advise.In same area we have checked many vessels with the same problem.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,USER: We are having problem GPS signal losing “EPFS”. on our vessel. She is running up and down north of RTE-7 anchorage/east of tanker anchorage Ras Tunara Freighter Anchorage KSA . Please check and advise.In same area we have checked many vessels with the same problem.. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-22,SA RTA,FJ 11,,,SA RTA,SA
11/14/2021 0430 EEST,Limassol,Marine,"USER: Full GNSS failure.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,USER: Full GNSS failure.. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-14,CY LMS,PE LIM,,,CY LMS,CY
11/07/2021 1104 EEST,"Moni Anchorage close to Limassol, Cyprus",Marine,"USER: Ship is anchored on Mony anchorage, Area around Limassol is known for occasional short GPS interference. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,"USER: Ship is anchored on Mony anchorage, Area around Limassol is known for occasional short GPS interference. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-07,CY,CY,,,CY,CY
11/06/2021 2356 UTC,"Moni Anchorage close to Limassol, Cyprus",,"User indicated an intermittent problem that was otherwise unspecified. . NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,User indicated an intermittent problem that was otherwise unspecified. . ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-06,CY,CY,,,CY,CY
11/05/2021 12.00 PST,Brooklyn,Other,USER: The maps wont go to any locations or give me directions. NAVCEN sent data mapping inforamtion.,Mapping Issue,02/09/2022,USER: The maps wont go to any locations or give me directions. , sent data mapping inforamtion.,2021-11-05,AU 2WS,,,,AU 2WS,AU
11/05/2021 0200 EEST,Limassol,Marine,"USER: Complete position and speed failure of all gnss systems.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,USER: Complete position and speed failure of all gnss systems.. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-05,CY LMS,PE LIM,,,CY LMS,CY
11/04/2021 0000 EEST,Limassol,Marine,"USER: Intermediate complete loss of position and increase of speed on all 3 GNSS - Issue is still on going.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,USER: Intermediate complete loss of position and increase of speed on all 3 GNSS - Issue is still on going.. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-04,CY LMS,PE LIM,,,CY LMS,CY
11/04/2021 02:14 CET,Marsaxlokk. Malta,Marine,"User indicated an intermittent problem that was otherwise unspecified. . NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,User indicated an intermittent problem that was otherwise unspecified. . ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-11-04,MT MAR,MT 28,,,MT MAR,MT
11/01/2021 12pm Indiana Eastern Standard Time,Driving West into South Bend on I80,Automobile,"USER: Mercedes Sprinter van says no GPS satellite. My iPhone position keeps wandering off the route and then instructs me to “proceed to the route” then occasionally comes back on track before wandering off again. NAVCEN: Requested additional information, but there was no response.",Insufficient Information,12/14/2021,USER: Mercedes Sprinter van says no GPS satellite. My iPhone position keeps wandering off the route and then instructs me to “proceed to the route” then occasionally comes back on track before wandering off again. ,": Requested additional information, but there was no response.",2021-11-01,US ACJ,CM SU,,,US ACJ,US
10/28/2021 05:00 EST,"San Diego CA, Providence RI, Baton Rouge LA",Timing,"USER: We have GPS clocks deployed across the US. Across many of our GPS clocks, I am seeing a marked decrease in satellites being tracked. I have graphs that will show this, from San Diego, Baton Rouge, and Providence, but I am unable to upload images via this form. Throughout the 2021 year, the tracking has decreased from an average of 8 satellites to 5, and then occasionally drop lower, and we get alarms when we drop below 3. There was an instance that started on 10/29 to 11/09 that shows a more pronounced drop during that time period. Is this a known issue or are there changes being implemented that can account for this change? NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners or users. The fluctuations in the satellites tracked appear to correlate with several released NANUs. The user will continue to monitor the status as NANUs are released.",Other,02/09/2022,"USER: We have GPS clocks deployed across the US. Across many of our GPS clocks, I am seeing a marked decrease in satellites being tracked. I have graphs that will show this, from San Diego, Baton Rouge, and Providence, but I am unable to upload images via this form. Throughout the 2021 year, the tracking has decreased from an average of 8 satellites to 5, and then occasionally drop lower, and we get alarms when we drop below 3. There was an instance that started on 10/29 to 11/09 that shows a more pronounced drop during that time period. Is this a known issue or are there changes being implemented that can account for this change? ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners or users. The fluctuations in the satellites tracked appear to correlate with several released NANUs. The user will continue to monitor the status as NANUs are released.",2021-10-28,US BTR,US CA,,,US BTR,US
10/25/2021 0600 GMT,Istanbul Strait / Marmara,Marine,"USER: After dropping anchor at Istanbul anchorage, vessel reported both GPS outage. Same failure notification from many ships.Istanbul anchorage area there are some frequency interceptions for temporary.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,"USER: After dropping anchor at Istanbul anchorage, vessel reported both GPS outage. Same failure notification from many ships.Istanbul anchorage area there are some frequency interceptions for temporary.. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-10-25,TR IST,TR 34,,,TR IST,TR
10/22/2021 14:35 UTC,"Mapleton, ND",Surveying,"USER: No satellites tracked on LED panel, and in the receiver utility. Static files from same time will process fine on OPUS. We have video of the behavior, and screen shots of the software screens. Manufacturer cannot explain the behavior, they should not act like that, especially all the receivers on the same job at the same time. This location is well south of the Northern Plains UAS test site. We have no idea what was in the air at the time of the incident. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. RS is working with manufacturer.",Insufficient Information,12/14/2021,"USER: No satellites tracked on LED panel, and in the receiver utility. Static files from same time will process fine on OPUS. We have video of the behavior, and screen shots of the software screens. Manufacturer cannot explain the behavior, they should not act like that, especially all the receivers on the same job at the same time. This location is well south of the Northern Plains UAS test site. We have no idea what was in the air at the time of the incident. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. RS is working with manufacturer.",2021-10-22,US M9T,US ND,,,US M9T,US
10/20/2021 9:00 CST,"I65, Alabama, mile marker 312-317",Communications,"USER: I travel this section of interstate regularly. I would say 50% of the time I loose GPS in this stretch. It started about a month ago. A couple of weeks ago I saw workers working on the microwave towers in the area but those were installed a couple years ago with no issues so not sure what has changed in this short five mile section. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",Insufficient Information,12/14/2021,USER: I travel this section of interstate regularly. I would say 50% of the time I loose GPS in this stretch. It started about a month ago. A couple of weeks ago I saw workers working on the microwave towers in the area but those were installed a couple years ago with no issues so not sure what has changed in this short five mile section. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners.",2021-10-20,US A9L,US AL,,,US A9L,US
10/18/2021 0000 GMT,"North of Dubuque, Iowa in a 3nm radius of John Deere Plant",Aviation,"USER: ADS-B locating problems. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to our request for additional information.",Insufficient Information,12/14/2021,USER: ADS-B locating problems. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to our request for additional information.",2021-10-18,US DBQ,US IA,,,US DBQ,US
10/13/2021 0930 EEST,Istanbul,Marine,"User indicated an intermittent problem that was otherwise unspecified. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,12/14/2021,User indicated an intermittent problem that was otherwise unspecified. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-10-13,TR IST,TR 34,,,TR IST,TR
10/12/2021 9am Phoenix Standard Time,Phoenix,Surveying,"USER: The surveyor worked in the same area with GPS a week prior. This morning and afternoon the equipment could not receive NavStar satellites. A few GLONASS and Beidou satellites were seen. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to request for additional information.",Insufficient Information,12/14/2021,USER: The surveyor worked in the same area with GPS a week prior. This morning and afternoon the equipment could not receive NavStar satellites. A few GLONASS and Beidou satellites were seen. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. No response to request for additional information.",2021-10-12,MU PNX,,,,MU PNX,MU
10/11/2021 1155 GMT,Limassol,Marine,"USER:Speed and position draticaly changimng on all GNSS systems for an aprox duration of 5 mins. The interference in currently on going. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/19/2021,USER:Speed and position draticaly changimng on all GNSS systems for an aprox duration of 5 mins. The interference in currently on going. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-10-11,CY LMS,PE LIM,,,CY LMS,CY
10/08/2021 1130 GMT,Limassol,Marine,"USER: 2 of our 3 gnss systems have been intermitently using 0 satellites while tracking upto 22 GPS and glonass. the issue is still on going at this time. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/19/2021,USER: 2 of our 3 gnss systems have been intermitently using 0 satellites while tracking upto 22 GPS and glonass. the issue is still on going at this time. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-10-08,CY LMS,PE LIM,,,CY LMS,CY
10/07/2021 17:00 (Arabic) Egypt Standard Time (+2:00),Istanbul,Aviation,"USER: I suddenly had an incorrect GPS signal, the home point was moved by several hundred kilometers. My drone then started moving in the opposite direction by itself. I am very confident that this was GPS spoofing by somebody trying to hack and take control of my device.. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. There has been an increase in reports from users in this region.",Unknown Interference,12/14/2021,"USER: I suddenly had an incorrect GPS signal, the home point was moved by several hundred kilometers. My drone then started moving in the opposite direction by itself. I am very confident that this was GPS spoofing by somebody trying to hack and take control of my device.. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. There has been an increase in reports from users in this region.",2021-10-07,TR IST,TR 34,,,TR IST,TR
10/04/2021 12:06 EEST,East of Cyprus,Marine,"USER: During Disruption of GPS signal, as per GPS manual (Alarm 001 - 'NO FIX') appeared on GPS display and remain the whole time until GPS signal restored. GPS SIGNAL was restored satisfactory (after one hour).. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",Unknown Interference,10/19/2021,"USER: During Disruption of GPS signal, as per GPS manual (Alarm 001 - 'NO FIX') appeared on GPS display and remain the whole time until GPS signal restored. GPS SIGNAL was restored satisfactory (after one hour).. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. The report of interference is similar to that outlined by U.S. Maritime Administration in Maritime Advisory 2021-010-Various GPS Interference. User encouraged to report the issue to the nearest communication authority.",2021-10-04,CY,CY,,,CY,CY
